Day fraction since midnight on 5/7/2018,Time (sec),Time (min),Source Pressure (Pa),Turbidity Effluent (),Turbidimeter Influent (),BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.57514862,780.000192,13.0000032,32910.53125,1.67,0.6681,0.99999947,0.14210526,0.80305263
0.57520649,785.00016,13.083336,32928.72656,1.72,0.8099,0.99999947,0.14210526,0.80305263
0.57526436,790.000128,13.1666688,32942.46094,1.69,0.6876,0.99999947,0.14210526,0.80305263
0.57532222,794.999232,13.2499872,32985.71094,1.65,0.5441,0.99999947,0.14210526,0.80305263
0.57538011,800.000928,13.3333488,32987.64844,1.63,0.4478,0.99999947,0.14210526,0.80305263
0.57543797,805.000032,13.4166672,33013.73828,1.66,0.3907,0.99999947,0.14210526,0.80305263
0.57549586,810.001728,13.5000288,33051.75391,1.66,0.8159,0.99999947,0.14210526,0.80305263
0.57555371,814.999968,13.5833328,33057.92578,1.65,0.7027,0.99999947,0.14210526,0.80305263
0.57561159,820.0008,13.66668,33096.47656,1.66,1.369,0.99999947,0.14210526,0.80305263
0.57566946,825.000768,13.7500128,33086.40625,1.68,1.6946,0.99999947,0.14210526,0.80305263
0.57572733,830.000736,13.8333456,33131.39063,1.65,1.514,0.99999947,0.14210526,0.80305263
0.5757852,835.000704,13.9166784,33135.46484,1.64,1.1754,0.99999947,0.14210526,0.80305263
0.57584306,839.999808,13.9999968,33177.24609,1.67,0.8373,0.99999947,0.14210526,0.80305263
0.57590094,845.00064,14.083344,33191.12891,1.71,0.6304,0.99999947,0.14210526,0.80305263
0.5759588,849.999744,14.1666624,33190.43359,1.7,0.5151,0.99999947,0.14210526,0.80305263
0.57601668,855.000576,14.2500096,33230.76172,1.67,0.4571,0.99999947,0.14210526,0.80305263
0.57607457,860.002272,14.3333712,33242.55859,1.62,0.4352,0.99999947,0.14210526,0.80305263
0.57613242,865.000512,14.4166752,33280.27344,1.59,0.4585,0.99999947,0.14210526,0.80305263
0.57619028,869.999616,14.4999936,33294.77734,1.57,0.4415,0.99999947,0.14210526,0.80305263
0.57624816,875.000448,14.5833408,33280.45313,1.57,0.4044,0.99999947,0.14210526,0.80305263
0.57630603,880.000416,14.6666736,33339.61719,1.59,0.4057,0.99999947,0.14210526,0.80305263
0.57636392,885.002112,14.7500352,33333.58594,1.6,0.3995,0.99999947,0.14210526,0.80305263
0.57642177,890.000352,14.8333392,33349.87891,1.62,0.3818,0.99999947,0.14210526,0.80305263
0.57647965,895.001184,14.9166864,33399.99609,1.61,0.3677,0.99999947,0.14210526,0.80305263
0.57653751,900.000288,15.0000048,33408.94922,1.63,0.3834,0.99999947,0.14210526,0.80305263
0.57659539,905.00112,15.083352,33422.51563,1.63,0.3681,0.99999947,0.14210526,0.80305263
0.57665328,910.002816,15.1667136,33431.65234,1.61,0.3641,0.99999947,0.14210526,0.80305263
0.57671112,915.000192,15.2500032,33447.37891,1.6,0.355,0.99999947,0.14210526,0.80305263
0.57676898,919.999296,15.3333216,33467.24219,1.62,0.3435,0.99999947,0.14210526,0.80305263
0.57682687,925.000992,15.4166832,33498.92969,1.67,0.3411,0.99999947,0.14210526,0.80305263
0.57688473,930.000096,15.5000016,33510.51172,1.68,0.3374,0.99999947,0.14210526,0.80305263
0.5769426,935.000064,15.5833344,33487.78516,1.66,0.3285,0.99999947,0.14210526,0.80305263
0.57700047,940.000032,15.6666672,33536.63672,1.64,0.3218,0.99999947,0.14210526,0.80305263
0.57705833,944.999136,15.7499856,33538.61719,1.64,0.3262,0.99999947,0.14210526,0.80305263
0.57711623,950.001696,15.8333616,33524.65625,1.65,0.3586,0.99999947,0.14210526,0.80305263
0.57717408,954.999936,15.9166656,33554.62891,1.63,0.4038,0.99999947,0.14210526,0.80305263
0.57723195,959.999904,15.9999984,33582.47656,1.62,0.4145,0.99999947,0.14210526,0.80305263
0.57728983,965.000736,16.0833456,33607.82031,1.6,0.3955,0.99999947,0.14210526,0.80305263
0.57734769,969.99984,16.166664,33618.91016,1.58,0.3758,0.99999947,0.14210526,0.80305263
0.57740556,974.999808,16.2499968,33622.78906,1.56,0.3558,0.99999947,0.14210526,0.80305263
0.57746344,980.00064,16.333344,33641.62891,1.57,0.337,0.99999947,0.14210526,0.80305263
0.57752131,985.000608,16.4166768,33647.83984,1.61,0.3231,0.99999947,0.14210526,0.80305263
0.57757918,990.000576,16.5000096,33665.18359,1.63,0.3126,0.99999947,0.14210526,0.80305263
0.57763703,994.998816,16.5833136,33682.49219,1.62,0.3142,0.99999947,0.14210526,0.80305263
0.57769492,1000.000512,16.6666752,33707.35938,1.6,0.3243,0.99999947,0.14210526,0.80305263
0.57775278,1004.999616,16.7499936,33719.60547,1.6,0.3395,0.99999947,0.14210526,0.80305263
0.57781065,1009.999584,16.8333264,33702.19141,1.59,0.3437,0.99999947,0.14210526,0.80305263
0.57786851,1014.998688,16.9166448,33721.375,1.58,0.3423,0.99999947,0.14210526,0.80305263
0.57792641,1020.001248,17.0000208,33738.05859,1.57,0.3482,0.99999947,0.14210526,0.80305263
0.57798429,1025.00208,17.083368,33761.15625,1.59,0.3536,0.99999947,0.14210526,0.80305263
0.57804213,1029.999456,17.1666576,33797.37891,1.58,0.3587,0.99999947,0.14210526,0.80305263
0.57810001,1035.000288,17.2500048,33796.99219,1.57,0.3536,0.99999947,0.14210526,0.80305263
0.57815787,1039.999392,17.3333232,33779.36328,1.56,0.3477,0.99999947,0.14210526,0.80305263
0.57821575,1045.000224,17.4166704,33795.45313,1.55,0.3392,0.99999947,0.14210526,0.80305263
0.57827362,1050.000192,17.5000032,33813.01953,1.55,0.3335,0.99999947,0.14210526,0.80305263
0.57833151,1055.001888,17.5833648,33816.07031,1.55,0.3287,0.99999947,0.14210526,0.80305263
0.57838936,1060.000128,17.6666688,33832.3125,1.55,0.3252,0.99999947,0.14210526,0.80305263
0.57844724,1065.00096,17.750016,33846.03516,1.55,0.3239,0.99999947,0.14210526,0.80305263
0.57850509,1069.9992,17.83332,33873.625,1.55,0.3204,0.99999947,0.14210526,0.80305263
0.57856298,1075.000896,17.9166816,33874.11719,1.55,0.3185,0.99999947,0.14210526,0.80305263
0.57862083,1079.999136,17.9999856,33888.65625,1.56,0.3187,0.99999947,0.14210526,0.80305263
0.57867872,1085.000832,18.0833472,33909.90625,1.56,0.3231,0.99999947,0.14210526,0.80305263
0.57873659,1090.0008,18.16668,33910.49609,1.57,0.3315,0.99999947,0.14210526,0.80305263
0.57879445,1094.999904,18.2499984,33931.47656,1.57,0.3461,0.99999947,0.14210526,0.80305263
0.57885232,1099.999872,18.3333312,33889.77344,1.56,0.7969,0.99999947,0.14210526,0.80305263
0.5789102,1105.000704,18.4166784,33912.875,1.56,0.9379,0.99999947,0.14210526,0.80305263
0.57896806,1109.999808,18.4999968,33927.83594,1.55,0.7158,0.99999947,0.14210526,0.80305263
0.57902594,1115.00064,18.583344,33943.94141,1.56,0.5701,0.99999947,0.14210526,0.80305263
0.5790838,1119.999744,18.6666624,33938.15234,1.55,0.4839,0.99999947,0.14210526,0.80305263
0.57914167,1124.999712,18.7499952,33953.62891,1.55,0.4283,0.99999947,0.14210526,0.80305263
0.57919954,1129.99968,18.833328,33977.41797,1.55,0.3936,0.99999947,0.14210526,0.80305263
0.57925741,1134.999648,18.9166608,33998.99609,1.56,0.3691,0.99999947,0.14210526,0.80305263
0.57931528,1139.999616,18.9999936,33981.03906,1.55,0.3503,0.99999947,0.14210526,0.80305263
0.57937315,1144.999584,19.0833264,34027.28906,1.54,0.3364,0.99999947,0.14210526,0.80305263
0.57943102,1149.999552,19.1666592,34021.27734,1.54,0.3237,0.99999947,0.14210526,0.80305263
0.5794889,1155.000384,19.2500064,34013.37109,1.54,0.3164,0.99999947,0.14210526,0.80305263
0.57954676,1159.999488,19.3333248,34018.28906,1.54,0.3116,0.99999947,0.14210526,0.80305263
0.57960466,1165.002048,19.4167008,34054.30469,1.54,0.3095,0.99999947,0.14210526,0.80305263
0.57966251,1170.000288,19.5000048,34029.89063,1.55,0.3074,0.99999947,0.14210526,0.80305263
0.57972037,1174.999392,19.5833232,34035.63672,1.55,0.3071,0.99999947,0.14210526,0.80305263
0.57977825,1180.000224,19.6666704,34064.18359,1.55,0.3103,0.99999947,0.14210526,0.80305263
0.57983611,1184.999328,19.7499888,34057.07422,1.55,0.3195,0.99999947,0.14210526,0.80305263
0.57989398,1189.999296,19.8333216,34086.23047,1.55,0.3245,0.99999947,0.14210526,0.80305263
0.57995186,1195.000128,19.9166688,34079.78516,1.54,0.3305,0.99999947,0.14210526,0.80305263
0.58000975,1200.001824,20.0000304,34093.28125,1.53,0.3322,0.99999947,0.14210526,0.80305263
0.58006761,1205.000928,20.0833488,34086.86719,1.53,0.332,0.99999947,0.14210526,0.80305263
0.58012548,1210.000896,20.1666816,34092.46094,1.52,0.3333,0.99999947,0.14210526,0.80305263
0.58018336,1215.001728,20.2500288,34120.72656,1.52,0.3328,0.99999947,0.14210526,0.80305263
0.58024122,1220.000832,20.3333472,34118.64063,1.52,0.33,0.99999947,0.14210526,0.80305263
0.58029907,1224.999072,20.4166512,34119.42578,1.53,0.3235,0.99999947,0.14210526,0.80305263
0.58035697,1230.001632,20.5000272,34125.25781,1.54,0.315,0.99999947,0.14210526,0.80305263
0.58041482,1234.999872,20.5833312,34122.24609,1.56,0.3057,0.99999947,0.14210526,0.80305263
0.58047269,1239.99984,20.666664,34149.89844,1.56,0.3002,0.99999947,0.14210526,0.80305263
0.58053057,1245.000672,20.7500112,34147.12109,1.55,0.2968,0.99999947,0.14210526,0.80305263
0.58058844,1250.00064,20.833344,34131.46094,1.55,0.2958,0.99999947,0.14210526,0.80305263
0.5806463,1254.999744,20.9166624,34153.52344,1.55,0.2977,0.99999947,0.14210526,0.80305263
0.58070418,1260.000576,21.0000096,34151.64844,1.55,0.3099,0.99999947,0.14210526,0.80305263
0.58076204,1264.99968,21.083328,34137.3125,1.55,0.3075,0.99999947,0.14210526,0.80305263
0.58081993,1270.001376,21.1666896,34186.75391,1.55,0.3062,0.99999947,0.14210526,0.80305263
0.58087781,1275.002208,21.2500368,34192.10938,1.56,0.3068,0.99999947,0.14210526,0.80305263
0.58093567,1280.001312,21.3333552,32647.80859,1.57,0.3048,0.99999947,0.14210526,0.80305263
0.58099354,1285.00128,21.416688,30997.80664,1.57,0.304,0.99999947,0.14210526,0.80305263
0.58105141,1290.001248,21.5000208,29333.33984,1.58,0.2992,0.99999947,0.14210526,0.80305263
0.58110927,1295.000352,21.5833392,27630.67773,1.58,0.2989,0.99999947,0.14210526,0.80305263
0.58116715,1300.001184,21.6666864,27829.81055,1.57,0.3074,0.99999947,0.14210526,0.80305263
0.58122502,1305.001152,21.7500192,29968.02148,1.57,0.3146,0.99999947,0.14210526,0.80305263
0.58128291,1310.002848,21.8333808,31094.73633,1.56,0.3135,0.99999947,0.14210526,0.80305263
0.58134075,1315.000224,21.9166704,31573.43359,1.56,0.307,0.99999947,0.14210526,0.80305263
0.58139863,1320.001056,22.0000176,31613.92969,1.56,0.3021,0.99999947,0.14210526,0.80305263
0.58145649,1325.00016,22.083336,31743.99219,1.56,0.3035,0.99999947,0.14210526,0.80305263
0.58151436,1330.000128,22.1666688,31818.8457,1.56,0.3114,0.99999947,0.14210526,0.80305263
0.58157223,1335.000096,22.2500016,31905.52734,1.55,0.3228,0.99999947,0.14210526,0.80305263
0.58163013,1340.002656,22.3333776,31995.81641,1.55,0.3343,0.99999947,0.14210526,0.80305263
0.58168797,1345.000032,22.4166672,32095.06055,1.54,0.3393,0.99999947,0.14210526,0.80305263
0.58174585,1350.000864,22.5000144,32153.29102,1.55,0.3442,0.99999947,0.14210526,0.80305263
0.58180372,1355.000832,22.5833472,32251.73242,1.54,0.344,0.99999947,0.14210526,0.80305263
0.5818616,1360.001664,22.6666944,32333.5293,1.54,0.3515,0.99999947,0.14210526,0.80305263
0.58191945,1364.999904,22.7499984,32418.83594,1.54,0.3347,0.99999947,0.14210526,0.80305263
