Day fraction since midnight on 5/8/2018,Sec,Min,Source Pressure (Pa),Turbidity Effluent (),Turbidimeter Influent (),BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.48064295,420.000768,7.0000128,32114.96289,1.35,10.7,0.99999947,0.14210526,0.80305263
0.48070083,425.0016,7.08336,32084.10547,1.35,10.777,0.99999947,0.14210526,0.80305263
0.48075868,429.99984,7.166664,32098.92188,1.34,11.027,0.99999947,0.14210526,0.80305263
0.48081655,434.999808,7.2499968,32093.30859,1.34,10.975,0.99999947,0.14210526,0.80305263
0.48087442,439.999776,7.3333296,32029.01367,1.34,10.711,0.99999947,0.14210526,0.80305263
0.48093231,445.001472,7.4166912,32056.01367,1.34,10.505,0.99999947,0.14210526,0.80305263
0.48099016,449.999712,7.4999952,32065.25391,1.33,10.368,0.99999947,0.14210526,0.80305263
0.48104805,455.001408,7.5833568,32022.42969,1.33,8.9853,0.99999947,0.14210526,0.80305263
0.48110591,460.000512,7.6666752,32051.96289,1.33,9.169,0.99999947,0.14210526,0.80305263
0.48116379,465.001344,7.7500224,32057.79297,1.33,9.2283,0.99999947,0.14210526,0.80305263
0.48122165,470.000448,7.8333408,32039.8125,1.33,9.3741,0.99999947,0.14210526,0.80305263
0.48127952,475.000416,7.9166736,32038.83008,1.32,9.2929,0.99999947,0.14210526,0.80305263
0.48133739,480.000384,8.0000064,32044.17969,1.32,9.1515,0.99999947,0.14210526,0.80305263
0.48139529,485.002944,8.0833824,32033.90039,1.32,9.1251,0.99999947,0.14210526,0.80305263
0.48145313,490.00032,8.166672,32018.9375,1.32,9.1489,0.99999947,0.14210526,0.80305263
0.481511,495.000288,8.2500048,32038.68945,1.32,9.2017,0.99999947,0.14210526,0.80305263
0.48156886,499.999392,8.3333232,32018.9375,1.31,9.1954,0.99999947,0.14210526,0.80305263
0.48162674,505.000224,8.4166704,32032.47461,1.31,9.033,0.99999947,0.14210526,0.80305263
0.48168461,510.000192,8.5000032,31996.99023,1.31,9.0282,0.99999947,0.14210526,0.80305263
0.48174248,515.00016,8.583336,31998.42773,1.31,9.2474,0.99999947,0.14210526,0.80305263
0.48180035,520.000128,8.6666688,31974.64258,1.31,9.1646,0.99999947,0.14210526,0.80305263
0.48185824,525.001824,8.7500304,31986.38672,1.31,9.2133,0.99999947,0.14210526,0.80305263
0.48191609,530.000064,8.8333344,31970.29297,1.31,9.1133,0.99999947,0.14210526,0.80305263
0.48197396,535.000032,8.9166672,31936.66602,1.31,8.9442,0.99999947,0.14210526,0.80305263
0.48203183,540,9,31955.59375,1.31,8.8582,0.99999947,0.14210526,0.80305263
0.4820897,544.999968,9.0833328,31962.83594,1.3,8.8133,0.99999947,0.14210526,0.80305263
0.48214754,549.997344,9.1666224,31968.4082,1.3,8.5915,0.99999947,0.14210526,0.80305263
0.48220544,554.999904,9.2499984,31946.25977,1.3,8.6123,0.99999947,0.14210526,0.80305263
0.48226331,559.999872,9.3333312,31964.92773,1.3,8.9738,0.99999947,0.14210526,0.80305263
0.48232118,564.99984,9.416664,31951.0293,1.3,8.9255,0.99999947,0.14210526,0.80305263
