Day fraction,Seconds,Min,Source Pressure (Pa),Turbidity Effluent,Turbidity Influent,BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.5572633,575.00064,9.583344,30578.8125,1.36,4.9522,0.99999947,0.14210526,0.80305263
0.55732116,579.999744,9.6666624,30593.44727,1.36,4.8703,0.99999947,0.14210526,0.80305263
0.55737904,585.000576,9.7500096,30605.24023,1.35,4.8637,0.99999947,0.14210526,0.80305263
0.5574369,589.99968,9.833328,30604.16602,1.35,4.9597,0.99999947,0.14210526,0.80305263
0.55749479,595.001376,9.9166896,30577.57227,1.35,5.2467,0.99999947,0.14210526,0.80305263
0.55755265,600.00048,10.000008,30550.5293,1.34,5.0302,0.99999947,0.14210526,0.80305263
0.55761052,605.000448,10.0833408,30580.75977,1.34,5.0266,0.99999947,0.14210526,0.80305263
0.55766838,609.999552,10.1666592,30580.75586,1.34,5.0632,0.99999947,0.14210526,0.80305263
0.55772626,615.000384,10.2500064,30559.03516,1.33,5.0159,0.99999947,0.14210526,0.80305263
0.55778415,620.00208,10.333368,30564.89453,1.33,4.8767,0.99999947,0.14210526,0.80305263
0.55784202,625.002048,10.4167008,30561.05859,1.33,4.8837,0.99999947,0.14210526,0.80305263
0.55789988,630.001152,10.5000192,30541.31836,1.33,4.8001,0.99999947,0.14210526,0.80305263
0.55795774,635.000256,10.5833376,30541.08594,1.33,4.7962,0.99999947,0.14210526,0.80305263
0.5580156,639.99936,10.666656,30551.60352,1.32,4.7477,0.99999947,0.14210526,0.80305263
0.5580735,645.00192,10.750032,30551.0332,1.32,4.7642,0.99999947,0.14210526,0.80305263
0.55813136,650.001024,10.8333504,30570.47656,1.32,4.912,0.99999947,0.14210526,0.80305263
0.55818921,654.999264,10.9166544,30536.17188,1.32,4.989,0.99999947,0.14210526,0.80305263
0.55824708,659.999232,10.9999872,30579.23438,1.31,4.9564,0.99999947,0.14210526,0.80305263
0.55830495,664.9992,11.08332,30577.11719,1.31,4.9199,0.99999947,0.14210526,0.80305263
0.55836283,670.000032,11.1666672,30594.72656,1.31,4.7972,0.99999947,0.14210526,0.80305263
0.55842071,675.000864,11.2500144,30618.94141,1.31,4.824,0.99999947,0.14210526,0.80305263
0.55847858,680.000832,11.3333472,30640.53125,1.31,4.9065,0.99999947,0.14210526,0.80305263
0.55853645,685.0008,11.41668,30655.14844,1.31,4.8352,0.99999947,0.14210526,0.80305263
0.55859432,690.000768,11.5000128,30676.35352,1.31,4.895,0.99999947,0.14210526,0.80305263
0.55865218,694.999872,11.5833312,30643.9707,1.3,4.907,0.99999947,0.14210526,0.80305263
0.55871006,700.000704,11.6666784,30686.19531,1.3,4.9424,0.99999947,0.14210526,0.80305263
0.55876794,705.001536,11.7500256,30703.27539,1.3,4.9589,0.99999947,0.14210526,0.80305263
0.55882579,709.999776,11.8333296,30714.76563,1.3,4.968,0.99999947,0.14210526,0.80305263
0.55888367,715.000608,11.9166768,30690.31836,1.3,4.9685,0.99999947,0.14210526,0.80305263
0.55894153,719.999712,11.9999952,30734.45117,1.3,4.8659,0.99999947,0.14210526,0.80305263
0.55899941,725.000544,12.0833424,30723.56055,1.3,4.8503,0.99999947,0.14210526,0.80305263
0.5590573,730.00224,12.166704,30742.35352,1.3,4.9471,0.99999947,0.14210526,0.80305263
0.55911515,735.00048,12.250008,30753.49414,1.29,4.9761,0.99999947,0.14210526,0.80305263
0.55917302,740.000448,12.3333408,30756.71875,1.29,4.9085,0.99999947,0.14210526,0.80305263
0.55923088,744.999552,12.4166592,30777.11133,1.29,4.8864,0.99999947,0.14210526,0.80305263
0.55928877,750.001248,12.5000208,30760.62695,1.29,4.8824,0.99999947,0.14210526,0.80305263
0.55934664,755.001216,12.5833536,30781.42383,1.29,4.9189,0.99999947,0.14210526,0.80305263
0.55940451,760.001184,12.6666864,30797.65234,1.29,4.8982,0.99999947,0.14210526,0.80305263
0.55946238,765.001152,12.7500192,30827.43945,1.29,4.9304,0.99999947,0.14210526,0.80305263
0.55952023,769.999392,12.8333232,30843.25977,1.29,4.9306,0.99999947,0.14210526,0.80305263
0.55957811,775.000224,12.9166704,30828.9707,1.29,4.903,0.99999947,0.14210526,0.80305263
0.55963599,780.001056,13.0000176,30838.4043,1.29,4.9343,0.99999947,0.14210526,0.80305263
0.55969387,785.001888,13.0833648,30803.73242,1.29,4.9716,0.99999947,0.14210526,0.80305263
0.55975173,790.000992,13.1666832,30839.89063,1.29,5.0765,0.99999947,0.14210526,0.80305263
0.5598096,795.00096,13.250016,30869.13672,1.29,5.0623,0.99999947,0.14210526,0.80305263
0.55986746,800.000064,13.3333344,30871.17773,1.29,5.0211,0.99999947,0.14210526,0.80305263
0.55992534,805.000896,13.4166816,30865.63086,1.29,4.9128,0.99999947,0.14210526,0.80305263
0.55998322,810.001728,13.5000288,30862.84961,1.29,4.9437,0.99999947,0.14210526,0.80305263
0.56004107,814.999968,13.5833328,30898.25,1.29,5.057,0.99999947,0.14210526,0.80305263
0.56009894,819.999936,13.6666656,30896.13281,1.28,4.971,0.99999947,0.14210526,0.80305263
0.56015682,825.000768,13.7500128,30885.17188,1.28,5.0336,0.99999947,0.14210526,0.80305263
0.56021469,830.000736,13.8333456,30922.44922,1.28,4.9322,0.99999947,0.14210526,0.80305263
