Day fraction,Seconds,Min,Source Pressure (Pa),Turbidity Effluent,Turbidity Influent,BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.67612901,500.001984,8.3333664,35457.23047,1.31,7.2356,0.99999947,0.14210526,0.80305263
0.67618688,505.001952,8.4166992,35438.58594,1.3,7.0707,0.99999947,0.14210526,0.80305263
0.67624475,510.00192,8.500032,35446.96094,1.3,6.9159,0.99999947,0.14210526,0.80305263
0.67630263,515.002752,8.5833792,35423.97266,1.3,6.8142,0.99999947,0.14210526,0.80305263
0.67636047,520.000128,8.6666688,35410.25391,1.3,6.7812,0.99999947,0.14210526,0.80305263
0.67641835,525.00096,8.750016,35418.17188,1.3,6.954,0.99999947,0.14210526,0.80305263
0.67647622,530.000928,8.8333488,35372.46484,1.3,6.589,0.99999947,0.14210526,0.80305263
0.6765341,535.00176,8.916696,35367.11328,1.3,6.6266,0.99999947,0.14210526,0.80305263
0.67659197,540.001728,9.0000288,35379.77344,1.3,6.6184,0.99999947,0.14210526,0.80305263
0.67664983,545.000832,9.0833472,35350.98828,1.32,6.3241,0.99999947,0.14210526,0.80305263
0.67670771,550.001664,9.1666944,35352.08984,1.31,6.185,0.99999947,0.14210526,0.80305263
0.67676557,555.000768,9.2500128,35321.00391,1.31,6.2691,0.99999947,0.14210526,0.80305263
0.67682344,560.000736,9.3333456,35339.44922,1.31,6.3063,0.99999947,0.14210526,0.80305263
0.67688132,565.001568,9.4166928,35335.79688,1.31,6.4989,0.99999947,0.14210526,0.80305263
0.67693919,570.001536,9.5000256,35310.49219,1.3,6.6078,0.99999947,0.14210526,0.80305263
0.67699706,575.001504,9.5833584,35279.98828,1.33,6.3985,0.99999947,0.14210526,0.80305263
0.67705492,580.000608,9.6666768,35283.03516,1.32,6.1934,0.99999947,0.14210526,0.80305263
0.6771128,585.00144,9.750024,35297.20703,1.31,6.043,0.99999947,0.14210526,0.80305263
0.67717068,590.002272,9.8333712,35269.92578,1.35,6.0081,0.99999947,0.14210526,0.80305263
0.67722855,595.00224,9.916704,35277.65234,1.33,6.2848,0.99999947,0.14210526,0.80305263
0.6772864,600.00048,10.000008,35245.71094,1.35,6.2009,0.99999947,0.14210526,0.80305263
0.67734429,605.002176,10.0833696,35252.77734,1.33,6.1014,0.99999947,0.14210526,0.80305263
0.67740215,610.00128,10.166688,35228.91016,1.32,5.9542,0.99999947,0.14210526,0.80305263
0.67746004,615.002976,10.2500496,35238.59766,1.31,5.8585,0.99999947,0.14210526,0.80305263
0.67751789,620.001216,10.3333536,35193.36328,1.3,5.8445,0.99999947,0.14210526,0.80305263
0.67757576,625.001184,10.4166864,35190.12891,1.3,5.7103,0.99999947,0.14210526,0.80305263
0.67763363,630.001152,10.5000192,35190.56641,1.3,5.9029,0.99999947,0.14210526,0.80305263
0.6776915,635.00112,10.583352,35142.5,1.3,5.8191,0.99999947,0.14210526,0.80305263
0.67774938,640.001952,10.6666992,35182.82813,1.3,5.8277,0.99999947,0.14210526,0.80305263
0.67780724,645.001056,10.7500176,35168.01953,1.3,5.755,0.99999947,0.14210526,0.80305263
0.67786513,650.002752,10.8333792,35124.72656,1.3,5.8397,0.99999947,0.14210526,0.80305263
0.67792298,655.000992,10.9166832,35131.56641,1.3,5.9402,0.99999947,0.14210526,0.80305263
0.67798086,660.001824,11.0000304,35130.29297,1.3,6.0751,0.99999947,0.14210526,0.80305263
0.67803873,665.001792,11.0833632,35132.84766,1.3,6.0326,0.99999947,0.14210526,0.80305263
0.6780966,670.00176,11.166696,35111.85156,1.3,5.9895,0.99999947,0.14210526,0.80305263
0.67815446,675.000864,11.2500144,35071.28516,1.3,5.7516,0.99999947,0.14210526,0.80305263
0.67821234,680.001696,11.3333616,35125.76953,1.3,5.7634,0.99999947,0.14210526,0.80305263
0.67827021,685.001664,11.4166944,35053.28516,1.3,5.8616,0.99999947,0.14210526,0.80305263
0.67832809,690.002496,11.5000416,35019.38672,1.3,5.8089,0.99999947,0.14210526,0.80305263
0.67838594,695.000736,11.5833456,35037.40234,1.3,5.8051,0.99999947,0.14210526,0.80305263
0.67844382,700.001568,11.6666928,35028.16406,1.3,5.7641,0.99999947,0.14210526,0.80305263
0.6785017,705.0024,11.75004,35033.5,1.3,5.7384,0.99999947,0.14210526,0.80305263
0.67855955,710.00064,11.833344,34997.50781,1.3,5.8245,0.99999947,0.14210526,0.80305263
0.67861742,715.000608,11.9166768,34976.93359,1.3,5.747,0.99999947,0.14210526,0.80305263
0.67867529,720.000576,12.0000096,35005.85938,1.3,6.1936,0.99999947,0.14210526,0.80305263
0.67873316,725.000544,12.0833424,34984.39063,1.3,6.0607,0.99999947,0.14210526,0.80305263
0.67879103,730.000512,12.1666752,34947.9375,1.3,5.8032,0.99999947,0.14210526,0.80305263
0.67884889,734.999616,12.2499936,34965.11328,1.3,6.0537,0.99999947,0.14210526,0.80305263
0.67890678,740.001312,12.3333552,34954.59375,1.3,6.1165,0.99999947,0.14210526,0.80305263
0.67896465,745.00128,12.416688,34928.65625,1.3,6.1104,0.99999947,0.14210526,0.80305263
0.67902251,750.000384,12.5000064,34897.99609,1.3,5.8548,0.99999947,0.14210526,0.80305263
0.67908038,755.000352,12.5833392,34890.49219,1.3,5.7897,0.99999947,0.14210526,0.80305263
0.67913825,760.00032,12.666672,34888.30859,1.29,5.8435,0.99999947,0.14210526,0.80305263
0.67919614,765.002016,12.7500336,34862.79688,1.29,5.7568,0.99999947,0.14210526,0.80305263
0.679254,770.00112,12.833352,34865.37891,1.29,5.9634,0.99999947,0.14210526,0.80305263
0.6793119,775.00368,12.916728,34874.16016,1.29,6.0967,0.99999947,0.14210526,0.80305263
0.67936975,780.00192,13.000032,34846.52734,1.29,5.9542,0.99999947,0.14210526,0.80305263
0.6794276,785.00016,13.083336,34831.27734,1.29,5.9014,0.99999947,0.14210526,0.80305263
0.67948547,790.000128,13.1666688,34791.15625,1.29,5.8586,0.99999947,0.14210526,0.80305263
0.67954336,795.001824,13.2500304,34820.77344,1.29,5.8031,0.99999947,0.14210526,0.80305263
0.67960121,800.000064,13.3333344,34775.52734,1.29,5.8488,0.99999947,0.14210526,0.80305263
0.67965908,805.000032,13.4166672,34778.76172,1.29,5.8543,0.99999947,0.14210526,0.80305263
0.67971696,810.000864,13.5000144,34763.51953,1.29,5.7486,0.99999947,0.14210526,0.80305263
0.67977484,815.001696,13.5833616,34732.1875,1.29,5.6272,0.99999947,0.14210526,0.80305263
0.67983271,820.001664,13.6666944,34748.43359,1.29,5.659,0.99999947,0.14210526,0.80305263
0.67989057,825.000768,13.7500128,34717.39453,1.3,5.571,0.99999947,0.14210526,0.80305263
0.67994845,830.0016,13.83336,34717.41797,1.3,5.4741,0.99999947,0.14210526,0.80305263
0.68000632,835.001568,13.9166928,34718.0625,1.3,5.7915,0.99999947,0.14210526,0.80305263
0.68006418,840.000672,14.0000112,34680.50781,1.3,5.7449,0.99999947,0.14210526,0.80305263
0.680122,844.99632,14.083272,34680.29297,1.3,5.6281,0.99999947,0.14210526,0.80305263
0.68017992,850.000608,14.1666768,34679.04688,1.3,5.5368,0.99999947,0.14210526,0.80305263
0.68023781,855.002304,14.2500384,34668.08984,1.29,5.5871,0.99999947,0.14210526,0.80305263
0.68029567,860.001408,14.3333568,34655.21094,1.29,5.6223,0.99999947,0.14210526,0.80305263
0.68035355,865.00224,14.416704,34631.60938,1.29,5.8615,0.99999947,0.14210526,0.80305263
0.6804114,870.00048,14.500008,34628.83594,1.29,5.6909,0.99999947,0.14210526,0.80305263
0.68046929,875.002176,14.5833696,34593.03906,1.29,5.6947,0.99999947,0.14210526,0.80305263
0.68052718,880.003872,14.6667312,34618.77734,1.29,5.5342,0.99999947,0.14210526,0.80305263
0.68058502,885.001248,14.7500208,34594.73438,1.3,5.6879,0.99999947,0.14210526,0.80305263
0.68064289,890.001216,14.8333536,34582.91797,1.29,5.7073,0.99999947,0.14210526,0.80305263
0.68070077,895.002048,14.9167008,34566.87891,1.29,5.6777,0.99999947,0.14210526,0.80305263
0.68075863,900.001152,15.0000192,34574.13281,1.29,5.6788,0.99999947,0.14210526,0.80305263
0.6808165,905.00112,15.083352,34566.17969,1.29,5.7164,0.99999947,0.14210526,0.80305263
0.68087438,910.001952,15.1666992,34535.76953,1.29,5.5846,0.99999947,0.14210526,0.80305263
0.68093224,915.001056,15.2500176,34503.57031,1.29,5.6515,0.99999947,0.14210526,0.80305263
0.68099011,920.001024,15.3333504,34518.64844,1.29,5.9363,0.99999947,0.14210526,0.80305263
0.68104798,925.000992,15.4166832,34506.61719,1.29,5.8197,0.99999947,0.14210526,0.80305263
0.68110585,930.00096,15.500016,34478.74219,1.29,5.6576,0.99999947,0.14210526,0.80305263
0.68116374,935.002656,15.5833776,34461.34375,1.29,5.6984,0.99999947,0.14210526,0.80305263
0.6812216,940.00176,15.666696,34483.89453,1.29,5.586,0.99999947,0.14210526,0.80305263
0.68127948,945.002592,15.7500432,34472.9375,1.29,5.5513,0.99999947,0.14210526,0.80305263
0.68133736,950.003424,15.8333904,34445.3125,1.29,5.6084,0.99999947,0.14210526,0.80305263
0.68139522,955.002528,15.9167088,34459.44531,1.29,5.5008,0.99999947,0.14210526,0.80305263
0.68145307,960.000768,16.0000128,34447.05078,1.29,5.5879,0.99999947,0.14210526,0.80305263
0.68151094,965.000736,16.0833456,34421.30078,1.29,5.6462,0.99999947,0.14210526,0.80305263
0.68156882,970.001568,16.1666928,34379.90625,1.29,5.6454,0.99999947,0.14210526,0.80305263
0.68162669,975.001536,16.2500256,34388.48438,1.29,5.6663,0.99999947,0.14210526,0.80305263
0.68168455,980.00064,16.333344,34386.07813,1.29,5.6756,0.99999947,0.14210526,0.80305263
0.68174243,985.001472,16.4166912,34389.33594,1.29,5.697,0.99999947,0.14210526,0.80305263
0.68180031,990.002304,16.5000384,34376.05469,1.29,5.6282,0.99999947,0.14210526,0.80305263
0.68185817,995.001408,16.5833568,34320.28516,1.29,5.976,0.99999947,0.14210526,0.80305263
0.68191604,1000.001376,16.6666896,34355.86719,1.29,5.9348,0.99999947,0.14210526,0.80305263
0.68197387,1004.997888,16.7499648,34305.28125,1.29,5.7656,0.99999947,0.14210526,0.80305263
0.68203178,1010.001312,16.8333552,34319.00391,1.29,5.6915,0.99999947,0.14210526,0.80305263
0.68208964,1015.000416,16.9166736,34305.32422,1.29,5.8401,0.99999947,0.14210526,0.80305263
0.68214751,1020.000384,17.0000064,34280.44141,1.29,5.7656,0.99999947,0.14210526,0.80305263
0.6822054,1025.00208,17.083368,34296.79297,1.29,5.7341,0.99999947,0.14210526,0.80305263
0.68226328,1030.002912,17.1667152,34300.19531,1.29,5.592,0.99999947,0.14210526,0.80305263
0.68232113,1035.001152,17.2500192,34252.98047,1.29,5.7813,0.99999947,0.14210526,0.80305263
0.682379,1040.00112,17.333352,34235.21875,1.29,5.6015,0.99999947,0.14210526,0.80305263
